sample_id,asset_type,label,defect_type,severity,source_image,image_path,mask_path,seed,synthetic
Generated image 2_corrosion_001,Generated image 2,anomaly,corrosion,medium,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_001.png,masks/corrosion/Generated image 2_corrosion_001_mask.png,3698886176,True
Generated image 2_corrosion_002,Generated image 2,anomaly,corrosion,high,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_002.png,masks/corrosion/Generated image 2_corrosion_002_mask.png,1701118345,True
Generated image 2_corrosion_003,Generated image 2,anomaly,corrosion,low,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_003.png,masks/corrosion/Generated image 2_corrosion_003_mask.png,8063600,True
Generated image 2_corrosion_004,Generated image 2,anomaly,corrosion,medium,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_004.png,masks/corrosion/Generated image 2_corrosion_004_mask.png,1899677498,True
Generated image 2_corrosion_005,Generated image 2,anomaly,corrosion,high,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_005.png,masks/corrosion/Generated image 2_corrosion_005_mask.png,979017949,True
Generated image 2_corrosion_006,Generated image 2,anomaly,corrosion,low,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_006.png,masks/corrosion/Generated image 2_corrosion_006_mask.png,4049753235,True
Generated image 2_corrosion_007,Generated image 2,anomaly,corrosion,medium,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_007.png,masks/corrosion/Generated image 2_corrosion_007_mask.png,4160318316,True
Generated image 2_corrosion_008,Generated image 2,anomaly,corrosion,high,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_008.png,masks/corrosion/Generated image 2_corrosion_008_mask.png,48926510,True
Generated image 2_corrosion_009,Generated image 2,anomaly,corrosion,low,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_009.png,masks/corrosion/Generated image 2_corrosion_009_mask.png,2169660624,True
Generated image 2_corrosion_010,Generated image 2,anomaly,corrosion,medium,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_010.png,masks/corrosion/Generated image 2_corrosion_010_mask.png,762945790,True
Generated image 2_corrosion_011,Generated image 2,anomaly,corrosion,high,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_011.png,masks/corrosion/Generated image 2_corrosion_011_mask.png,3530302824,True
Generated image 2_corrosion_012,Generated image 2,anomaly,corrosion,low,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_012.png,masks/corrosion/Generated image 2_corrosion_012_mask.png,3314795783,True
Generated image 2_corrosion_013,Generated image 2,anomaly,corrosion,medium,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_013.png,masks/corrosion/Generated image 2_corrosion_013_mask.png,3938159878,True
Generated image 2_corrosion_014,Generated image 2,anomaly,corrosion,high,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_014.png,masks/corrosion/Generated image 2_corrosion_014_mask.png,3314839378,True
Generated image 2_corrosion_015,Generated image 2,anomaly,corrosion,low,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_015.png,masks/corrosion/Generated image 2_corrosion_015_mask.png,1181950402,True
Generated image 2_corrosion_016,Generated image 2,anomaly,corrosion,medium,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_016.png,masks/corrosion/Generated image 2_corrosion_016_mask.png,2947968020,True
Generated image 2_corrosion_017,Generated image 2,anomaly,corrosion,high,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_017.png,masks/corrosion/Generated image 2_corrosion_017_mask.png,2174363704,True
Generated image 2_corrosion_018,Generated image 2,anomaly,corrosion,low,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_018.png,masks/corrosion/Generated image 2_corrosion_018_mask.png,1543367205,True
Generated image 2_corrosion_019,Generated image 2,anomaly,corrosion,medium,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_019.png,masks/corrosion/Generated image 2_corrosion_019_mask.png,3212706397,True
Generated image 2_wear_000,Generated image 2,anomaly,wear,low,Generated image 2.png,anomaly/wear/Generated image 2_wear_000.png,masks/wear/Generated image 2_wear_000_mask.png,3900045424,True
Generated image 2_wear_001,Generated image 2,anomaly,wear,medium,Generated image 2.png,anomaly/wear/Generated image 2_wear_001.png,masks/wear/Generated image 2_wear_001_mask.png,980461813,True
Generated image 2_wear_002,Generated image 2,anomaly,wear,high,Generated image 2.png,anomaly/wear/Generated image 2_wear_002.png,masks/wear/Generated image 2_wear_002_mask.png,817574570,True
Generated image 2_wear_003,Generated image 2,anomaly,wear,low,Generated image 2.png,anomaly/wear/Generated image 2_wear_003.png,masks/wear/Generated image 2_wear_003_mask.png,1979520606,True
Generated image 2_wear_004,Generated image 2,anomaly,wear,medium,Generated image 2.png,anomaly/wear/Generated image 2_wear_004.png,masks/wear/Generated image 2_wear_004_mask.png,2891840187,True
Generated image 2_wear_005,Generated image 2,anomaly,wear,high,Generated image 2.png,anomaly/wear/Generated image 2_wear_005.png,masks/wear/Generated image 2_wear_005_mask.png,1628760332,True
Generated image 2_wear_006,Generated image 2,anomaly,wear,low,Generated image 2.png,anomaly/wear/Generated image 2_wear_006.png,masks/wear/Generated image 2_wear_006_mask.png,2559271585,True
Generated image 2_wear_007,Generated image 2,anomaly,wear,medium,Generated image 2.png,anomaly/wear/Generated image 2_wear_007.png,masks/wear/Generated image 2_wear_007_mask.png,2994654108,True
Generated image 2_wear_008,Generated image 2,anomaly,wear,high,Generated image 2.png,anomaly/wear/Generated image 2_wear_008.png,masks/wear/Generated image 2_wear_008_mask.png,1511818548,True
Generated image 2_wear_009,Generated image 2,anomaly,wear,low,Generated image 2.png,anomaly/wear/Generated image 2_wear_009.png,masks/wear/Generated image 2_wear_009_mask.png,1626873280,True
Generated image 2_wear_010,Generated image 2,anomaly,wear,medium,Generated image 2.png,anomaly/wear/Generated image 2_wear_010.png,masks/wear/Generated image 2_wear_010_mask.png,1199477208,True
Generated image 2_wear_011,Generated image 2,anomaly,wear,high,Generated image 2.png,anomaly/wear/Generated image 2_wear_011.png,masks/wear/Generated image 2_wear_011_mask.png,142031988,True
Generated image 2_wear_012,Generated image 2,anomaly,wear,low,Generated image 2.png,anomaly/wear/Generated image 2_wear_012.png,masks/wear/Generated image 2_wear_012_mask.png,2756893950,True
Generated image 2_wear_013,Generated image 2,anomaly,wear,medium,Generated image 2.png,anomaly/wear/Generated image 2_wear_013.png,masks/wear/Generated image 2_wear_013_mask.png,2725824636,True
Generated image 2_wear_014,Generated image 2,anomaly,wear,high,Generated image 2.png,anomaly/wear/Generated image 2_wear_014.png,masks/wear/Generated image 2_wear_014_mask.png,393221135,True
Generated image 2_wear_015,Generated image 2,anomaly,wear,low,Generated image 2.png,anomaly/wear/Generated image 2_wear_015.png,masks/wear/Generated image 2_wear_015_mask.png,905846405,True
Generated image 2_wear_016,Generated image 2,anomaly,wear,medium,Generated image 2.png,anomaly/wear/Generated image 2_wear_016.png,masks/wear/Generated image 2_wear_016_mask.png,2521373346,True
Generated image 2_wear_017,Generated image 2,anomaly,wear,high,Generated image 2.png,anomaly/wear/Generated image 2_wear_017.png,masks/wear/Generated image 2_wear_017_mask.png,3599250065,True
Generated image 2_wear_018,Generated image 2,anomaly,wear,low,Generated image 2.png,anomaly/wear/Generated image 2_wear_018.png,masks/wear/Generated image 2_wear_018_mask.png,3011324206,True
Generated image 2_wear_019,Generated image 2,anomaly,wear,medium,Generated image 2.png,anomaly/wear/Generated image 2_wear_019.png,masks/wear/Generated image 2_wear_019_mask.png,2078039969,True
Generated image 2_overheating_000,Generated image 2,anomaly,overheating,low,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_000.png,masks/overheating/Generated image 2_overheating_000_mask.png,3475773899,True
Generated image 2_overheating_001,Generated image 2,anomaly,overheating,medium,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_001.png,masks/overheating/Generated image 2_overheating_001_mask.png,3487067830,True
Generated image 2_overheating_002,Generated image 2,anomaly,overheating,high,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_002.png,masks/overheating/Generated image 2_overheating_002_mask.png,3613351902,True
Generated image 2_overheating_003,Generated image 2,anomaly,overheating,low,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_003.png,masks/overheating/Generated image 2_overheating_003_mask.png,1064056193,True
Generated image 2_overheating_004,Generated image 2,anomaly,overheating,medium,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_004.png,masks/overheating/Generated image 2_overheating_004_mask.png,2589586560,True
Generated image 2_overheating_005,Generated image 2,anomaly,overheating,high,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_005.png,masks/overheating/Generated image 2_overheating_005_mask.png,910643811,True
Generated image 2_overheating_006,Generated image 2,anomaly,overheating,low,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_006.png,masks/overheating/Generated image 2_overheating_006_mask.png,389001408,True
Generated image 2_overheating_007,Generated image 2,anomaly,overheating,medium,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_007.png,masks/overheating/Generated image 2_overheating_007_mask.png,75237739,True
Generated image 2_overheating_008,Generated image 2,anomaly,overheating,high,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_008.png,masks/overheating/Generated image 2_overheating_008_mask.png,1891099984,True
Generated image 2_overheating_009,Generated image 2,anomaly,overheating,low,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_009.png,masks/overheating/Generated image 2_overheating_009_mask.png,860063359,True
Generated image 2_overheating_010,Generated image 2,anomaly,overheating,medium,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_010.png,masks/overheating/Generated image 2_overheating_010_mask.png,583944104,True
Generated image 2_overheating_011,Generated image 2,anomaly,overheating,high,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_011.png,masks/overheating/Generated image 2_overheating_011_mask.png,491193914,True
Generated image 2_overheating_012,Generated image 2,anomaly,overheating,low,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_012.png,masks/overheating/Generated image 2_overheating_012_mask.png,1525034875,True
Generated image 2_overheating_013,Generated image 2,anomaly,overheating,medium,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_013.png,masks/overheating/Generated image 2_overheating_013_mask.png,523681855,True
Generated image 2_overheating_014,Generated image 2,anomaly,overheating,high,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_014.png,masks/overheating/Generated image 2_overheating_014_mask.png,3481083289,True
Generated image 2_overheating_015,Generated image 2,anomaly,overheating,low,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_015.png,masks/overheating/Generated image 2_overheating_015_mask.png,410105046,True
Generated image 2_overheating_016,Generated image 2,anomaly,overheating,medium,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_016.png,masks/overheating/Generated image 2_overheating_016_mask.png,1948075183,True
Generated image 2_overheating_017,Generated image 2,anomaly,overheating,high,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_017.png,masks/overheating/Generated image 2_overheating_017_mask.png,3118791020,True
Generated image 2_overheating_018,Generated image 2,anomaly,overheating,low,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_018.png,masks/overheating/Generated image 2_overheating_018_mask.png,2423436131,True
Generated image 2_overheating_019,Generated image 2,anomaly,overheating,medium,Generated image 2.png,anomaly/overheating/Generated image 2_overheating_019.png,masks/overheating/Generated image 2_overheating_019_mask.png,3316091344,True
